520,actions,sing,sing,"chant,hum"
521,actions,sing2,sing,"carol,chant,hum"
522,actions,sing_duet,sing duet,
523,actions,sit_bench,sit,"bench,seat"
524,actions,sit_chair,sit,"chair,sat,seat,sits,sitting"
525,actions,sit_chair2,sit,chair
526,actions,sit_stool,sit,stool
527,actions,sledding,sledding,"luge,sled,sleigh,toboggan"
528,actions,sleep,sleep,"nap,rest,snooze,snore"
529,actions,sleep2,sleep,"nap,rest,snooze,snore"
530,actions/cooking,slice,slice,"bread,cut"
531,actions,slide,slide,"fun,play,playground"
532,actions,slimed,slimed,
533,actions,smile,smile,"grin,happy,smiled,smiles,smiling"
534,actions,smile2,smile,"happy,smirk"
535,actions,snap,snap,
536,actions,snore,snore,
537,actions,snowball_make,make snowball,roll
538,actions,soak,soak,saturate
539,actions,solve_puzzle,solve puzzle,"accomplish,achieve,complete,finish,put together,solved,solves,solving"
540,actions,somersault,somersault,"flip,over,roll,tumble"
541,actions,sort_trash,sort trash,"recycle,separate"
542,actions,spank,spank,"slap,smack,strike"
543,actions,speak_chinese,speak Chinese,"interpret,language,talk,translate"
544,actions,speak_danish,speak Danish,"interpret,language,talk,translate"
545,actions,speak_dutch,speak Dutch,"interpret,language,talk,translate"
546,actions,speak_english,speak English,"interpret,language,translate"
547,actions,speak_english2,speak English,"interpret,language,translate"
548,actions,speak_french,speak French,"interpret,language,talk,translate"
549,actions,speak_german,speak German,"interpret,language,talk,translate"
550,actions,speak_japanese,speak Japanese,"interpret,language,talk,translate"
551,actions,speak_korean,speak Korean,"interpret,language,talk,translate"
552,actions,speak_spanish,speak Spanish,"interpret,language,talk,translate"
553,actions,speak_spanish2,speak Spanish,"interpret,language,talk,translate"
554,actions,spell,spell,",spelled,spelling,spells"
555,actions,spill,spill,"drop,tip,tip over"
556,actions,spin_plates,spin plates,"entertain,turn"
557,actions,spin_turn,spin,"rotate,turn,twist"
558,actions,spit,spit,spew
559,actions,splash_pool,splash,"spray,wet"
560,actions,splash_puddle,splash,"puddle,spatter,wet"
561,actions,split,split,"break,divide,divided,share,shared"
562,actions,spray,spray,"mist,spray bottle,squirt"
563,actions,spray2,spray,"mist,spray can,squirt"
564,actions,squeak,squeak,rubber duck
565,actions,squeeze,squeeze,"crumple,crush,scrunch"
566,actions,squeeze2,squeeze,
567,actions,squirt,squirt,"shoot,spray,water gun"
568,actions,squish,squish,"crush,flatten,squash"
569,actions,stack_books,stack books,pile
570,actions,stack_carry,carry,"bear,clutch,hold,lug,stack,take"
571,actions,stamp_verb,stamp,"brand,imprint,mark,seal"
572,actions,stand,stand,stood
573,actions,stand2,stand,"position,remain,stay"
574,actions,staple,staple,"affix,attach,fasten"
575,actions,start,start,"began,begin,commence,started,starting,starts"
576,actions,start_again,start over,"do again,over,repeat,repeated"
577,actions,stay_command,stay,
578,actions,steal,steal,"rob,take,thieve"
579,actions,steal2,steal,"rob,take,thieve"
580,actions,step_up,step up,"stepped,stepping,steps,upstairs,walk"
